1|bfsi|VERTICAL|bfsi-cbs|Core Banking Solution|||1
2|bfsi|VERTICAL|bfsi-ibs|Internet Banking Solution|||1
3|bfsi|VERTICAL|bfsi-mbs|Mobile Banking Solution|||1
5|bfsi|VERTICAL|bfsi-aa|Account Aggregator Solution|||1
6|bfsi|VERTICAL|bfsi-upi|UPI Solution|||1
7|bfsi|VERTICAL|bfsi-bbps|BBPS Solution|||1
8|bfsi|VERTICAL|bfsi-enach|e-NACH Solution|||1
9|bfsi|VERTICAL|bfsi-ckyc|CKYC Solution|||1
10|bfsi|VERTICAL|bfsi-lms|Loan Management Solution|||1
11|bfsi|VERTICAL|bfsi-los|Loan Origination Solution|||1
12|bfsi|VERTICAL|bfsi-crm|Customer Relationship Management|||1
13|bfsi|VERTICAL|bfsi-da|Data Analytics Solution|||1
14|healthcare|VERTICAL|health-ehr|Electronic Health Records|||1
15|healthcare|VERTICAL|health-mrd|Medical Records Database|||1
16|healthcare|VERTICAL|health-mrs|Medical Research Software|||1
17|healthcare|VERTICAL|health-mds|Medical Diagnosis Software|||1
18|healthcare|VERTICAL|health-mis|Medical Imaging Software|||1
19|healthcare|VERTICAL|health-eps|E-Prescription Software|||1
20|healthcare|VERTICAL|health-tms|Telemedicine Software|||1
21|healthcare|VERTICAL|health-cabs|Clinic Appointment Booking Software|||1
22|healthcare|VERTICAL|health-mbs|Medical Billing Software|||1
23|healthcare|VERTICAL|health-hms|Hospital Management Software|||1
24|healthcare|VERTICAL|health-mems|Medical Equipment Management Software|||1
25|healthcare|VERTICAL|health-hta|Health Tracking Apps|||1
26|healthcare|VERTICAL|health-phr|Personal Health Record Software|||1
27|healthcare|VERTICAL|health-rpm|Remote Patient Monitoring Software|||1
28|healthcare|VERTICAL|health-mha|Mobile Health Apps|||1
29|retail|VERTICAL|retail-pos|Point of Sale Solution|||1
30|retail|VERTICAL|retail-ims|Inventory Management Solution|||1
31|retail|VERTICAL|retail-scm|Supply Chain Management|||1
32|retail|VERTICAL|retail-crm|Customer Relationship Management|||1
33|retail|VERTICAL|retail-ecom|E-Commerce Platform|||1
34|retail|VERTICAL|retail-ondc|ONDC Solution|||1
35|retail|VERTICAL|retail-da|Data Analytics Solution|||1
36|manufacturing|VERTICAL|manufacturing-erp|Enterprise Resource Planning|||1
37|manufacturing|VERTICAL|manufacturing-scm|Supply Chain Management|||1
38|manufacturing|VERTICAL|manufacturing-pp|Production Planning|||1
39|manufacturing|VERTICAL|manufacturing-qc|Quality Control|||1
40|manufacturing|VERTICAL|manufacturing-iot|IOT for Smart Factories|||1
41|manufacturing|VERTICAL|manufacturing-pm|Predictive Maintenance|||1
42|network-infrastructure|HORIZONTAL|it-wan|Wide Area Networks (WANs)|||1
43|network-infrastructure|HORIZONTAL|it-lan|Local Area Networks (LANs)|||1
44|network-infrastructure|HORIZONTAL|it-network-security|Network security|||1
45|network-infrastructure|HORIZONTAL|it-network-mgmt|Network management|||1
46|datacenter-infrastructure|HORIZONTAL|it-server-virtualisation|Server virtualisation|||1
47|datacenter-infrastructure|HORIZONTAL|it-storage-solutions|Storage solutions|||1
48|datacenter-infrastructure|HORIZONTAL|it-data-backup-recovery|Data backup and recovery|||1
49|datacenter-infrastructure|HORIZONTAL|it-disaster-recovery|Disaster recovery|||1
50|datacenter-infrastructure|HORIZONTAL|it-cloud-computing|Cloud computing|||1
51|end-user-computing|HORIZONTAL|it-desktops-laptops|Desktop/Laptops|||1
52|end-user-computing|HORIZONTAL|it-mobile-devices|Mobile devices|||1
53|collab-tools|HORIZONTAL|it-instant-messaging|Instant messaging (IM)|||1
